date,symbol,calendarYear,period,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,sma,ema,wma,dema,tema,williams,rsi,adx,standardDeviation
2024-01-12,1101.TW,2024,Q1,33.7,33.8,33.6,33.75,33.75,5221622,5221622,0.05,0.14837,33.72,"January 12, 24",0.0014837,34.34749999999999,34.19515231396442,34.240238095238105,34.16041528000145,33.90477302298898,-89.28571428571438,45.19661536526785,18.284472580604508,0.35477986132248207
2024-01-11,1101.TW,2024,Q1,33.7,33.8,33.6,33.7,33.7,6590499,6590499,0.0,0.0,33.7,"January 11, 24",0.0,34.379999999999995,34.24201045227647,34.30023809523809,34.250475026734705,34.01112466687898,-92.85714285714275,44.5187953369769,19.14438255517057,0.32726136343907075
2024-01-10,1101.TW,2024,Q1,34.05,34.05,33.7,33.7,33.7,10231832,10231832,-0.35,-1.03,33.82,"January 10, 24",-0.0103,34.397499999999994,34.299064184095045,34.36666666666667,34.36547349820957,34.15887310328848,-100.0,44.5187953369769,20.04955094945063,0.2985276369115594
2024-01-09,1101.TW,2024,Q1,34.3,34.3,34.05,34.05,34.05,6191243,6191243,-0.25,-0.72886,34.13,"January 09, 24",-0.0072886,34.41999999999999,34.36212357189452,34.4352380952381,34.498582727925836,34.340284764929834,-100.0,48.2921611264381,21.060459292211085,0.2595187854472198
2024-01-08,1101.TW,2024,Q1,34.4,34.55,34.25,34.25,34.25,5522713,5522713,-0.15,-0.43605,34.35,"January 08, 24",-0.0043605,34.437499999999986,34.39497868472552,34.472142857142856,34.578657075275345,34.4509154033246,-78.9473684210524,50.621350429950795,21.570302533329293,0.24539508960042378
2024-01-05,1101.TW,2024,Q1,34.2,34.35,34.2,34.35,34.35,4632974,4632974,0.15,0.4386,34.3,"January 05, 24",0.004386,34.455,34.410239598907154,34.491666666666674,34.628513471064906,34.5219207889378,-68.42105263157859,51.808268756614645,21.75469576060775,0.24387496796514413
2024-01-04,1101.TW,2024,Q1,34.2,34.3,34.15,34.2,34.2,6398576,6398576,0.0,0.0,34.22,"January 04, 24",0.0,34.4625,34.41658060931844,34.50238095238095,34.66417168895671,34.57567593198097,-84.21052631578893,50.14242952771689,22.209905370986903,0.24283482040267632
2024-01-03,1101.TW,2024,Q1,34.5,34.75,34.15,34.2,34.2,12618451,12618451,-0.3,-0.86957,34.37,"January 03, 24",-0.0086957,34.4825,34.43937856819406,34.52928571428572,34.735829825617245,34.686878903586845,-84.99999999999943,50.14242952771688,22.755801963966153,0.23678840765544287
2024-01-02,1101.TW,2024,Q1,34.85,34.85,34.6,34.7,34.7,9061300,9061300,-0.15,-0.43042,34.72,"January 02, 24",-0.0043042,34.5175,34.46457631221448,34.5595238095238,34.81743070917632,34.81973019804978,-33.33333333333288,55.96183262645701,23.330429956575887,0.24406710142909524
2023-12-29,1101.TW,2023,Q4,34.9,34.9,34.7,34.85,34.85,6434406,6434406,-0.05,-0.14327,34.82,"December 29, 23",-0.0014327,34.485,34.43979487139495,34.539047619047615,34.805010395638504,34.81991306325405,-19.047619047618696,57.87616650650194,23.14392511753291,0.2603363209388968
2023-12-28,1101.TW,2023,Q4,34.95,35.0,34.7,34.9,34.9,9397397,9397397,-0.05,-0.14306,34.87,"December 28, 23",-0.0014306,34.46249999999999,34.396615384173366,34.50214285714286,34.75709516058939,34.76883078223166,-14.285714285714187,58.509974949410896,22.752537629769424,0.24691850882426816
2023-12-27,1101.TW,2023,Q4,34.65,34.9,34.65,34.9,34.9,11423455,11423455,0.25,0.7215,34.82,"December 27, 23",0.007215,34.464999999999996,34.343627529875825,34.46071428571429,34.68906469161705,34.68699302717847,-30.769230769230727,58.50997494941089,22.3405508005447,0.2515452245621061
2023-12-26,1101.TW,2023,Q4,34.6,34.7,34.5,34.65,34.65,5467401,5467401,0.05,0.14451,34.62,"December 26, 23",0.0014451,34.43249999999999,34.285062006704855,34.41619047619047,34.60829545177418,34.583802000722784,-50.0,56.353079547145704,22.005814007497328,0.2346673177074311
2023-12-25,1101.TW,2023,Q4,34.4,34.65,34.35,34.5,34.5,7304056,7304056,0.1,0.2907,34.5,"December 25, 23",0.002907,34.425,34.24664748109484,34.39476190476191,34.56549097371934,34.53402931221772,-66.66666666666666,55.020241559894146,21.856994631840852,0.22994564575133927
2023-12-22,1101.TW,2023,Q4,34.2,34.35,34.15,34.3,34.3,5495257,5495257,0.1,0.2924,34.27,"December 22, 23",0.002924,34.3975,34.219978794894296,34.385,34.54571607422609,34.517836445589474,-70.5882352941177,53.21042222739724,21.751969148910295,0.2512344522552595
2023-12-21,1101.TW,2023,Q4,34.25,34.35,34.15,34.25,34.25,7131400,7131400,0.0,0.0,34.25,"December 21, 23",0.0,34.370000000000005,34.211555510146326,34.391666666666666,34.56315763939666,34.558208162927365,-71.42857142857143,52.75898125495853,21.963483652639415,0.2878367592924854
2023-12-20,1101.TW,2023,Q4,34.45,34.6,34.25,34.5,34.5,8983096,8983096,0.05,0.14514,34.45,"December 20, 23",0.0014514,34.3575,34.20750872174067,34.40190476190475,34.59207481303275,34.619568301082104,-54.05405405405401,55.293035387308954,22.186130498670067,0.2980247472945832
