date,symbol,calendarYear,period,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,sma,ema,wma,dema,tema,williams,rsi,adx,standardDeviation
2024-01-12,1101.TW,2024,Q1,33.7,33.8,33.6,33.75,33.75,5221622,5221622,0.05,0.14837,33.72,"January 12, 24",0.0014837,35.92579365079367,35.46415281339364,35.18034537925842,33.75865398133665,33.57274314043578,-73.03370786516855,58.0303113517751,11.549357460845679,2.062031419854612
2024-01-11,1101.TW,2024,Q1,33.7,33.8,33.6,33.7,33.7,6590499,6590499,0.0,0.0,33.7,"January 11, 24",0.0,35.92797619047621,35.47781140154817,35.197562582345164,33.77238152551778,33.585058279361434,-73.59550561797751,57.998560568654746,11.561317277256206,2.0600174023162543
2024-01-10,1101.TW,2024,Q1,34.05,34.05,33.7,33.7,33.7,10231832,10231832,-0.35,-1.03,33.82,"January 10, 24",-0.0103,35.93075396825399,35.491977229448956,35.215197001066585,33.78712409864181,33.59888498220148,-73.59550561797751,57.998560568654746,11.573324742337693,2.0574816598789454
2024-01-09,1101.TW,2024,Q1,34.3,34.3,34.05,34.05,34.05,6191243,6191243,-0.25,-0.72886,34.13,"January 09, 24",-0.0072886,35.93214285714287,35.506255932472456,35.232842399146755,33.80209701759075,33.61305220379746,-69.66292134831465,58.304875358720224,11.584802571991153,2.0560929998510002
2024-01-08,1101.TW,2024,Q1,34.4,34.55,34.25,34.25,34.25,5522713,5522713,-0.15,-0.43605,34.35,"January 08, 24",-0.0043605,35.93373015873018,35.51785956540052,35.24773354664659,33.81172532794981,33.61919885840986,-67.41573033707866,58.480666991842085,11.59430087582669,2.054793363931159
2024-01-05,1101.TW,2024,Q1,34.2,34.35,34.2,34.35,34.35,4632974,4632974,0.15,0.4386,34.3,"January 05, 24",0.004386,35.932936507936525,35.5279620320571,35.261037392559125,33.81833556614383,33.620782792686825,-66.29213483146067,58.568610023271425,11.60267584388135,2.0554820496142057
2024-01-04,1101.TW,2024,Q1,34.2,34.3,34.15,34.2,34.2,6398576,6398576,0.0,0.0,34.22,"January 04, 24",0.0,35.930357142857154,35.53734818370695,35.27353033439987,33.8234853478028,33.62012207867,-67.97752808988761,58.47531469349014,11.612045322337162,2.057873254786707
2024-01-03,1101.TW,2024,Q1,34.5,34.75,34.15,34.2,34.2,12618451,12618451,-0.3,-0.86957,34.37,"January 03, 24",-0.0086957,35.92896825396827,35.548004344533304,35.287198067632865,33.83114139187858,33.623157581539985,-67.97752808988761,58.475314693490134,11.62169225919265,2.059158338371349
2024-01-02,1101.TW,2024,Q1,34.85,34.85,34.6,34.7,34.7,9061300,9061300,-0.15,-0.43042,34.72,"January 02, 24",-0.0043042,35.93055555555557,35.55874541500767,35.300878348704444,33.83894334993764,33.62636318566707,-62.359550561797725,58.914021300137954,11.631377630059516,2.0579787840220827
2023-12-29,1101.TW,2023,Q4,34.9,34.9,34.7,34.85,34.85,6434406,6434406,-0.05,-0.14327,34.82,"December 29, 23",-0.0014327,35.925992063492075,35.56558800795594,35.310569985569984,33.83892493372206,33.61778989443689,-60.67415730337078,59.04639124936094,11.638506444483967,2.0619735999573656
